"","Produkt","Kategoria","Segment","Sprzedaz2013","Sprzedaz2014","Marza2013","Marza2014","Sztuki2013","Sztuki2014"
"3816","Produkt 24","Hair care","Conditioners","432","860",193,334,208,288
"3817","Produkt 29","Hair care","Styling agents","699","289",313,106,242,120
"3818","Produkt 4","Hair care","Shampoo","412","930",185,404,190,414
"3819","Produkt 9","Hair care","2-in-1 products","606","618",271,241,223,243
"3820","Produkt 14","Hair care","Conditioners","773","295",348,75,309,117
"3821","Produkt 19","Hair care","Styling agents","748","774",336,300,330,286
"3822","Produkt 24","Hair care","Shampoo","949","888",426,332,441,398
"3823","Produkt 29","Hair care","2-in-1 products","797","368",358,129,267,136
"3824","Produkt 4","Hair care","Conditioners","68","326",30,113,31,136
"3825","Produkt 9","Hair care","Styling agents","263","427",117,161,101,188
"3826","Produkt 14","Hair care","Shampoo","536","20",239,-58,211,7
"3827","Produkt 19","Hair care","2-in-1 products","556","873",248,358,197,395
"3828","Produkt 24","Hair care","Conditioners","357","933",160,361,162,336
"3829","Produkt 29","Hair care","Styling agents","434","651",195,268,170,234
"3830","Produkt 4","Hair care","Shampoo","535","955",240,405,245,328
"3831","Produkt 9","Hair care","2-in-1 products","123","775",54,309,52,382
"3832","Produkt 14","Hair care","Conditioners","495","776",223,296,220,356
"3833","Produkt 19","Hair care","Styling agents","433","246",194,58,153,96
"3834","Produkt 24","Hair care","Shampoo","698","414",313,146,262,176
"3835","Produkt 29","Hair care","2-in-1 products","214","837",94,340,90,408
"3836","Produkt 4","Hair care","Conditioners","228","55",102,-54,91,24
"3837","Produkt 9","Hair care","Styling agents","233","988",103,378,83,357
"3838","Produkt 14","Hair care","Shampoo","215","792",96,299,104,265
"3839","Produkt 19","Hair care","2-in-1 products","981","1,030",441,427,327,401
"3840","Produkt 24","Hair care","Conditioners","273","79",123,0,92,38
"3841","Produkt 29","Hair care","Styling agents","57","722",26,270,28,331
"3842","Produkt 4","Hair care","Shampoo","98","509",43,181,34,198
"3843","Produkt 9","Hair care","2-in-1 products","603","158",270,42,294,62
"3844","Produkt 14","Hair care","Conditioners","879","38",395,-25,369,17
"3845","Produkt 19","Hair care","Styling agents","235","732",105,288,82,355
"3846","Produkt 24","Hair care","Shampoo","771","466",346,154,266,198
"3847","Produkt 29","Hair care","2-in-1 products","75","156",32,49,37,75
"3848","Produkt 4","Hair care","Conditioners","59","782",26,275,21,272
"3849","Produkt 9","Hair care","Styling agents","106","904",46,334,52,331
"3850","Produkt 14","Hair care","Shampoo","182","504",82,166,82,178
"3851","Produkt 19","Hair care","2-in-1 products","681","746",306,273,299,253
"3852","Produkt 24","Hair care","Conditioners","737","695",331,274,363,277
"3853","Produkt 29","Hair care","Styling agents","183","393",82,138,66,174
"3854","Produkt 4","Hair care","Shampoo","882","908",397,385,398,408
"3855","Produkt 9","Hair care","2-in-1 products","570","426",257,160,201,172
"3856","Produkt 14","Hair care","Conditioners","29","610",12,224,12,228
"3857","Produkt 19","Hair care","Styling agents","723","538",325,235,273,225
"3858","Produkt 24","Hair care","Shampoo","286","935",128,376,128,359
"3859","Produkt 29","Hair care","2-in-1 products","92","162",41,45,40,74
"3860","Produkt 4","Hair care","Conditioners","973","105",436,19,472,46
"3861","Produkt 9","Hair care","Styling agents","445","476",200,189,222,236
"3862","Produkt 14","Hair care","Shampoo","889","393",399,152,330,173
"3863","Produkt 19","Hair care","2-in-1 products","437","108",195,-6,179,45
"3864","Produkt 24","Hair care","Conditioners","920","999",412,390,417,409
"3865","Produkt 29","Hair care","Styling agents","599","347",268,106,241,117
"3866","Produkt 4","Hair care","Shampoo","121","1,031",54,417,52,414
"3867","Produkt 9","Hair care","2-in-1 products","324","158",144,3,120,62
"3868","Produkt 14","Hair care","Conditioners","948","477",427,202,372,196
"3869","Produkt 19","Hair care","Styling agents","907","384",407,164,415,142
"3870","Produkt 24","Hair care","Shampoo","354","442",159,124,140,173
"3871","Produkt 29","Hair care","2-in-1 products","594","1,092",266,451,271,425
"3872","Produkt 4","Hair care","Conditioners","391","990",176,413,157,364
"3873","Produkt 9","Hair care","Styling agents","815","53",366,9,301,18
"3874","Produkt 14","Hair care","Shampoo","954","248",428,58,395,102
"3875","Produkt 19","Hair care","2-in-1 products","220","337",98,83,80,162
"3876","Produkt 24","Hair care","Conditioners","31","391",13,148,13,156
"3877","Produkt 29","Hair care","Styling agents","770","403",346,142,307,146
"3878","Produkt 4","Hair care","Shampoo","790","1,020",354,407,348,371
"3879","Produkt 9","Hair care","2-in-1 products","830","937",373,357,392,320
"3880","Produkt 14","Hair care","Conditioners","394","932",176,340,172,397
"3881","Produkt 19","Hair care","Styling agents","672","439",302,164,233,169
"3882","Produkt 24","Hair care","Shampoo","573","540",256,213,258,189
"3883","Produkt 29","Hair care","2-in-1 products","943","628",424,241,351,284
"3884","Produkt 4","Hair care","Conditioners","391","371",175,151,172,157
"3885","Produkt 9","Hair care","Styling agents","103","376",45,130,40,145
"3886","Produkt 14","Hair care","Shampoo","895","329",403,99,372,116
"3887","Produkt 19","Hair care","2-in-1 products","522","767",234,283,185,334
"3888","Produkt 24","Hair care","Conditioners","244","924",109,378,97,377
"3889","Produkt 29","Hair care","Styling agents","93","313",42,82,43,130
"3890","Produkt 4","Hair care","Shampoo","178","188",79,38,64,77
"3891","Produkt 9","Hair care","2-in-1 products","238","137",107,2,98,52
"3892","Produkt 23","Fragrances","Mass men's fragrances","997","767",447,295,401,370
"3893","Produkt 28","Fragrances","Mass women's fragrances","406","205",182,47,184,82
"3894","Produkt 3","Fragrances","Premium men's fragrances","313","553",141,171,117,250
"3895","Produkt 8","Fragrances","Premium women's fragrances","384","909",171,366,170,328
"3896","Produkt 13","Fragrances","Mass men's fragrances","352","391",158,141,136,171
"3897","Produkt 18","Fragrances","Mass women's fragrances","506","257",227,79,227,119
"3898","Produkt 23","Fragrances","Premium men's fragrances","18","283",8,65,7,108
"3899","Produkt 28","Fragrances","Premium women's fragrances","354","995",159,404,134,359
"3900","Produkt 3","Fragrances","Mass men's fragrances","237","371",105,99,113,143
"3901","Produkt 8","Fragrances","Mass women's fragrances","514","1,098",231,451,212,440
"3902","Produkt 13","Fragrances","Premium men's fragrances","964","208",433,59,346,100
"3903","Produkt 18","Fragrances","Premium women's fragrances","678","599",303,252,244,211
"3904","Produkt 23","Fragrances","Mass men's fragrances","115","771",51,304,46,294
"3905","Produkt 28","Fragrances","Mass women's fragrances","43","348",19,124,16,141
"3906","Produkt 3","Fragrances","Premium men's fragrances","208","117",92,14,77,41
"3907","Produkt 8","Fragrances","Premium women's fragrances","188","372",84,108,71,126
"3908","Produkt 13","Fragrances","Mass men's fragrances","669","1,032",300,430,258,404
"3909","Produkt 18","Fragrances","Mass women's fragrances","862","931",387,375,394,371
"3910","Produkt 23","Fragrances","Premium men's fragrances","572","431",256,124,257,159
"3911","Produkt 28","Fragrances","Premium women's fragrances","616","556",277,220,231,269
"3912","Produkt 3","Fragrances","Mass men's fragrances","441","348",198,137,178,138
"3913","Produkt 8","Fragrances","Mass women's fragrances","113","719",49,280,49,326
"3914","Produkt 13","Fragrances","Premium men's fragrances","461","344",207,142,164,146
"3915","Produkt 18","Fragrances","Premium women's fragrances","411","1,045",184,421,197,393
"3916","Produkt 23","Fragrances","Mass men's fragrances","641","878",288,374,219,357
"3917","Produkt 28","Fragrances","Mass women's fragrances","850","887",381,361,324,443
"3918","Produkt 3","Fragrances","Premium men's fragrances","82","451",35,179,41,170
"3919","Produkt 8","Fragrances","Premium women's fragrances","237","995",107,408,93,345
"3920","Produkt 13","Fragrances","Mass men's fragrances","546","732",244,274,185,332
"3921","Produkt 18","Fragrances","Mass women's fragrances","539","863",242,362,211,334
"3922","Produkt 23","Fragrances","Premium men's fragrances","944","296",424,67,402,124
"3923","Produkt 28","Fragrances","Premium women's fragrances","718","811",321,346,271,274
"3924","Produkt 3","Fragrances","Mass men's fragrances","592","437",266,158,200,147
"3925","Produkt 8","Fragrances","Mass women's fragrances","769","584",345,189,284,264
"3926","Produkt 13","Fragrances","Premium men's fragrances","474","571",212,236,182,210
"3927","Produkt 18","Fragrances","Premium women's fragrances","141","506",63,162,62,251
"3928","Produkt 23","Fragrances","Mass men's fragrances","230","3",103,-8,90,1
"3929","Produkt 28","Fragrances","Mass women's fragrances","876","362",394,124,362,161
"3930","Produkt 3","Fragrances","Premium men's fragrances","933","128",419,-6,381,52
"3931","Produkt 8","Fragrances","Premium women's fragrances","71","674",30,244,25,295
"3932","Produkt 13","Fragrances","Mass men's fragrances","26","916",12,390,13,341
"3933","Produkt 18","Fragrances","Mass women's fragrances","515","385",232,159,210,154
"3934","Produkt 23","Fragrances","Premium men's fragrances","56","530",23,171,23,259
"3935","Produkt 28","Fragrances","Premium women's fragrances","90","1,045",40,420,36,482
"3936","Produkt 3","Fragrances","Mass men's fragrances","359","322",160,110,136,122
"3937","Produkt 8","Fragrances","Mass women's fragrances","854","22",384,-59,307,10
"3938","Produkt 13","Fragrances","Premium men's fragrances","941","875",423,350,318,371
"3939","Produkt 18","Fragrances","Premium women's fragrances","21","183",9,53,10,90
"3940","Produkt 23","Fragrances","Mass men's fragrances","38","122",17,9,13,43
"3941","Produkt 28","Fragrances","Mass women's fragrances","195","187",87,61,84,70
"3942","Produkt 3","Fragrances","Premium men's fragrances","147","485",66,157,63,234
"3943","Produkt 8","Fragrances","Premium women's fragrances","895","609",402,255,381,262
"3944","Produkt 13","Fragrances","Mass men's fragrances","506","608",227,238,210,218
"3945","Produkt 18","Fragrances","Mass women's fragrances","326","282",147,61,148,116
"3946","Produkt 23","Fragrances","Premium men's fragrances","490","409",219,162,217,146
"3947","Produkt 28","Fragrances","Premium women's fragrances","467","27",209,-36,156,10
"3948","Produkt 3","Fragrances","Mass men's fragrances","693","125",311,21,238,59
"3949","Produkt 8","Fragrances","Mass women's fragrances","159","216",71,47,60,84
"3950","Produkt 13","Fragrances","Premium men's fragrances","654","297",294,98,311,128
"3951","Produkt 18","Fragrances","Premium women's fragrances","725","168",325,50,290,66
"3952","Produkt 23","Fragrances","Mass men's fragrances","193","767",86,299,74,257
"3953","Produkt 28","Fragrances","Mass women's fragrances","859","1,063",386,429,295,376
"3954","Produkt 3","Fragrances","Premium men's fragrances","67","614",29,220,30,247
"3955","Produkt 8","Fragrances","Premium women's fragrances","219","324",97,87,95,130
"3956","Produkt 13","Fragrances","Mass men's fragrances","627","798",281,313,267,313
"3957","Produkt 18","Fragrances","Mass women's fragrances","875","542",393,220,370,196
"3958","Produkt 23","Fragrances","Premium men's fragrances","169","158",75,31,74,58
"3959","Produkt 28","Fragrances","Premium women's fragrances","48","898",21,361,23,403
"3960","Produkt 3","Fragrances","Mass men's fragrances","780","645",349,224,347,247
"3961","Produkt 8","Fragrances","Mass women's fragrances","988","577",445,219,442,222
"3962","Produkt 13","Fragrances","Premium men's fragrances","861","499",386,189,293,224
"3963","Produkt 18","Fragrances","Premium women's fragrances","919","12",413,-54,308,5
"3964","Produkt 23","Fragrances","Mass men's fragrances","615","246",275,74,241,84
"3965","Produkt 28","Fragrances","Mass women's fragrances","899","603",403,235,381,232
"3966","Produkt 3","Fragrances","Premium men's fragrances","667","1,001",300,419,287,383
"3967","Produkt 8","Fragrances","Premium women's fragrances","25","763",9,306,9,306
"3968","Produkt 13","Fragrances","Mass men's fragrances","948","91",426,-15,367,37
"3969","Produkt 18","Fragrances","Mass women's fragrances","686","859",307,320,323,411
"3970","Produkt 23","Fragrances","Premium men's fragrances","303","132",136,-5,104,53
"3971","Produkt 28","Fragrances","Premium women's fragrances","706","790",317,317,316,318
"3972","Produkt 3","Fragrances","Mass men's fragrances","44","957",19,385,15,325
"3973","Produkt 8","Fragrances","Mass women's fragrances","970","380",435,164,414,151
"3974","Produkt 13","Fragrances","Premium men's fragrances","301","299",135,127,139,102
"3975","Produkt 18","Fragrances","Premium women's fragrances","796","692",357,261,267,243
"3976","Produkt 23","Fragrances","Mass men's fragrances","937","763",421,331,393,343
"3977","Produkt 28","Fragrances","Mass women's fragrances","54","551",23,181,18,235
"3978","Produkt 3","Fragrances","Premium men's fragrances","139","932",61,341,47,319
"3979","Produkt 8","Fragrances","Premium women's fragrances","521","1,045",232,422,258,350
"3980","Produkt 13","Fragrances","Mass men's fragrances","331","776",147,315,135,386
"3981","Produkt 18","Fragrances","Mass women's fragrances","869","342",391,97,359,141
"3982","Produkt 23","Fragrances","Premium men's fragrances","489","396",219,116,234,178
"3983","Produkt 28","Fragrances","Premium women's fragrances","671","884",301,339,248,377
"3984","Produkt 3","Fragrances","Mass men's fragrances","617","181",277,47,223,62
"3985","Produkt 8","Fragrances","Mass women's fragrances","882","351",396,118,313,173
"3986","Produkt 13","Fragrances","Premium men's fragrances","891","600",399,232,418,246
"3987","Produkt 18","Fragrances","Premium women's fragrances","319","658",142,285,106,314
"3988","Produkt 23","Fragrances","Mass men's fragrances","138","558",61,242,58,201
"3989","Produkt 28","Fragrances","Mass women's fragrances","72","505",31,206,27,180
"3990","Produkt 3","Fragrances","Premium men's fragrances","189","1,008",85,395,78,375
"3991","Produkt 8","Fragrances","Premium women's fragrances","64","198",28,31,28,86
"3992","Produkt 13","Fragrances","Mass men's fragrances","112","327",50,95,41,147
"3993","Produkt 18","Fragrances","Mass women's fragrances","990","458",443,162,420,215
"3994","Produkt 23","Fragrances","Premium men's fragrances","752","101",337,23,276,35
"3995","Produkt 28","Fragrances","Premium women's fragrances","755","658",338,251,311,267
"3996","Produkt 3","Fragrances","Mass men's fragrances","843","529",378,207,335,192
"3997","Produkt 8","Fragrances","Mass women's fragrances","286","298",127,76,99,144
"3998","Produkt 13","Fragrances","Premium men's fragrances","552","210",247,10,227,71
"3999","Produkt 18","Fragrances","Premium women's fragrances","882","686",396,233,377,287
"4000","Produkt 23","Fragrances","Mass men's fragrances","58","1,056",25,461,26,358
"4001","Produkt 28","Fragrances","Mass women's fragrances","773","138",348,0,265,66
"4002","Produkt 3","Fragrances","Premium men's fragrances","606","598",271,241,213,287
"4003","Produkt 8","Fragrances","Premium women's fragrances","940","566",422,230,341,268
"4004","Produkt 13","Fragrances","Mass men's fragrances","628","87",282,18,310,43
"4005","Produkt 18","Fragrances","Mass women's fragrances","270","42",121,-8,95,21
"4006","Produkt 23","Fragrances","Premium men's fragrances","834","943",375,405,302,333
"4007","Produkt 28","Fragrances","Premium women's fragrances","526","882",235,350,204,361
"4008","Produkt 3","Fragrances","Mass men's fragrances","945","520",425,192,373,218
"4009","Produkt 8","Fragrances","Mass women's fragrances","7","591",2,246,3,259
"4010","Produkt 13","Fragrances","Premium men's fragrances","532","768",238,288,192,304
"4011","Produkt 18","Fragrances","Premium women's fragrances","118","867",52,326,42,312
"4012","Produkt 28","Fragrances","Mass women's fragrances","596","835",267,321,231,286
"4013","Produkt 3","Fragrances","Premium men's fragrances","49","1,089",21,432,18,427
"4014","Produkt 8","Fragrances","Premium women's fragrances","853","1,055",383,445,335,380
"4015","Produkt 13","Fragrances","Mass men's fragrances","317","490",143,206,107,225
"4016","Produkt 18","Fragrances","Mass women's fragrances","888","983",398,397,311,366
"4017","Produkt 23","Fragrances","Premium men's fragrances","763","323",342,118,309,124
"4018","Produkt 28","Fragrances","Premium women's fragrances","538","897",242,342,179,379
"4019","Produkt 3","Fragrances","Mass men's fragrances","92","60",40,4,35,24
"4020","Produkt 8","Fragrances","Mass women's fragrances","910","819",408,329,312,350
"4021","Produkt 13","Fragrances","Premium men's fragrances","504","185",226,20,175,62
"4022","Produkt 18","Fragrances","Premium women's fragrances","807","943",362,372,291,319
"4023","Produkt 23","Fragrances","Mass men's fragrances","197","387",88,118,91,152
"4024","Produkt 28","Fragrances","Mass women's fragrances","589","703",264,255,253,291
"4025","Produkt 3","Fragrances","Premium men's fragrances","679","379",305,155,269,135
"4026","Produkt 8","Fragrances","Premium women's fragrances","233","1,083",103,431,83,418
"4027","Produkt 13","Fragrances","Mass men's fragrances","203","794",90,307,71,285
"4028","Produkt 18","Fragrances","Mass women's fragrances","999","903",449,350,458,313
"4029","Produkt 23","Fragrances","Premium men's fragrances","313","165",139,33,123,76
"4030","Produkt 28","Fragrances","Premium women's fragrances","862","77",386,5,404,31
"4031","Produkt 3","Fragrances","Mass men's fragrances","51","56",23,-35,18,19
"4032","Produkt 8","Fragrances","Mass women's fragrances","963","336",432,116,399,150
"4033","Produkt 13","Fragrances","Premium men's fragrances","893","659",400,240,343,263
"4034","Produkt 18","Fragrances","Premium women's fragrances","103","768",46,294,36,283
"4035","Produkt 23","Fragrances","Mass men's fragrances","821","862",367,372,311,297
"4036","Produkt 28","Fragrances","Mass women's fragrances","120","205",54,25,57,98
"4037","Produkt 3","Fragrances","Premium men's fragrances","239","15",107,-15,104,5
"4038","Produkt 8","Fragrances","Premium women's fragrances","831","10",373,-61,282,4
"4039","Produkt 13","Fragrances","Mass men's fragrances","633","734",284,266,249,361
"4040","Produkt 18","Fragrances","Mass women's fragrances","257","74",116,-13,112,25
"4041","Produkt 23","Fragrances","Premium men's fragrances","962","895",431,365,423,349
"4042","Produkt 28","Fragrances","Premium women's fragrances","821","287",368,111,373,115
"4043","Produkt 3","Fragrances","Mass men's fragrances","606","396",272,99,230,167
"4044","Produkt 8","Fragrances","Mass women's fragrances","548","706",245,296,190,315
"4045","Produkt 13","Fragrances","Premium men's fragrances","348","836",155,310,170,416
"4046","Produkt 18","Fragrances","Premium women's fragrances","867","831",389,317,364,311
"4047","Produkt 23","Fragrances","Mass men's fragrances","988","792",444,346,456,289
"4048","Produkt 28","Fragrances","Mass women's fragrances","185","387",83,149,66,176
"4049","Produkt 3","Fragrances","Premium men's fragrances","141","1,089",62,442,61,486
"4050","Produkt 8","Fragrances","Premium women's fragrances","738","767",331,294,326,304
"4051","Produkt 13","Fragrances","Mass men's fragrances","556","121",249,21,273,50
"4052","Produkt 18","Fragrances","Mass women's fragrances","115","42",52,-43,39,18
"4053","Produkt 23","Fragrances","Premium men's fragrances","461","90",207,15,229,34
"4054","Produkt 28","Fragrances","Premium women's fragrances","893","190",401,23,410,86
"4055","Produkt 3","Fragrances","Mass men's fragrances","842","3",379,-34,327,1
"4056","Produkt 8","Fragrances","Mass women's fragrances","770","893",345,344,362,421
"4057","Produkt 13","Fragrances","Premium men's fragrances","94","268",41,70,47,133
"4058","Produkt 18","Fragrances","Premium women's fragrances","941","527",423,214,342,191
"4059","Produkt 23","Fragrances","Mass men's fragrances","644","628",289,240,310,280
"4060","Produkt 23","Fragrances","Premium men's fragrances","639","608",287,260,300,232
"4061","Produkt 28","Fragrances","Premium women's fragrances","181","37",80,-36,65,16
"4062","Produkt 3","Fragrances","Mass men's fragrances","393","849",177,334,172,368
"4063","Produkt 8","Fragrances","Mass women's fragrances","583","442",262,171,225,187
"4064","Produkt 13","Fragrances","Premium men's fragrances","28","679",11,245,12,302
"4065","Produkt 18","Fragrances","Premium women's fragrances","770","1,074",346,441,334,410
"4066","Produkt 23","Fragrances","Mass men's fragrances","880","1,038",396,448,297,502
"4067","Produkt 28","Fragrances","Mass women's fragrances","673","195",302,57,235,66
"4068","Produkt 3","Fragrances","Premium men's fragrances","300","752",134,327,128,355
"4069","Produkt 8","Fragrances","Premium women's fragrances","688","436",309,159,239,146
"4070","Produkt 13","Fragrances","Mass men's fragrances","931","617",419,225,317,306
"4071","Produkt 18","Fragrances","Mass women's fragrances","280","655",125,243,126,327
"4072","Produkt 23","Fragrances","Premium men's fragrances","729","993",327,434,268,388
"4073","Produkt 28","Fragrances","Premium women's fragrances","271","586",120,190,127,199
"4074","Produkt 3","Fragrances","Mass men's fragrances","643","11",288,-36,285,4
"4075","Produkt 8","Fragrances","Mass women's fragrances","504","96",225,-30,170,40
"4076","Produkt 13","Fragrances","Premium men's fragrances","135","129",60,-9,52,60
"4077","Produkt 18","Fragrances","Premium women's fragrances","14","1,062",6,453,6,482
"4078","Produkt 23","Fragrances","Mass men's fragrances","460","142",206,-13,158,64
"4079","Produkt 28","Fragrances","Mass women's fragrances","28","750",11,275,14,309
"4080","Produkt 3","Fragrances","Premium men's fragrances","839","109",378,15,383,48
"4081","Produkt 8","Fragrances","Premium women's fragrances","605","36",272,-12,211,13
"4082","Produkt 13","Fragrances","Mass men's fragrances","880","380",395,116,427,157
"4083","Produkt 18","Fragrances","Mass women's fragrances","114","1,069",50,438,43,464
"4084","Produkt 23","Fragrances","Premium men's fragrances","824","725",369,284,282,359
"4085","Produkt 28","Fragrances","Premium women's fragrances","399","640",178,238,175,263
"4086","Produkt 3","Fragrances","Mass men's fragrances","679","884",305,349,309,402
"4087","Produkt 8","Fragrances","Mass women's fragrances","353","1,075",159,447,165,359
"4088","Produkt 13","Fragrances","Premium men's fragrances","646","926",290,385,304,426
"4089","Produkt 18","Fragrances","Premium women's fragrances","634","148",285,20,290,61
"4090","Produkt 23","Fragrances","Mass men's fragrances","739","262",332,61,274,120
"4091","Produkt 28","Fragrances","Mass women's fragrances","726","1,095",326,455,326,480
"4092","Produkt 3","Fragrances","Premium men's fragrances","188","256",84,42,86,113
"4093","Produkt 8","Fragrances","Premium women's fragrances","569","562",256,188,262,248
"4094","Produkt 13","Fragrances","Mass men's fragrances","899","937",404,388,393,397
"4095","Produkt 18","Fragrances","Mass women's fragrances","481","425",217,165,165,159
"4096","Produkt 23","Fragrances","Premium men's fragrances","727","63",326,-32,315,27
"4097","Produkt 28","Fragrances","Premium women's fragrances","533","27",239,-10,233,10
"4098","Produkt 3","Fragrances","Mass men's fragrances","847","895",381,373,352,335
"4099","Produkt 8","Fragrances","Mass women's fragrances","572","623",257,214,266,231
"4100","Produkt 13","Fragrances","Premium men's fragrances","521","344",234,120,204,164
"4101","Produkt 18","Fragrances","Premium women's fragrances","814","753",366,323,333,281
"4102","Produkt 23","Fragrances","Mass men's fragrances","594","188",266,56,271,85
"4103","Produkt 28","Fragrances","Mass women's fragrances","355","194",158,58,138,67
"4104","Produkt 3","Fragrances","Premium men's fragrances","896","815",401,344,355,354
"4105","Produkt 8","Fragrances","Premium women's fragrances","159","1,037",71,417,79,432
"4106","Produkt 13","Fragrances","Mass men's fragrances","590","806",264,348,247,366
"4107","Produkt 18","Fragrances","Mass women's fragrances","50","415",21,166,18,170
"4108","Produkt 23","Fragrances","Premium men's fragrances","764","838",344,313,288,288
"4109","Produkt 28","Fragrances","Premium women's fragrances","163","483",72,145,68,225
"4110","Produkt 3","Fragrances","Mass men's fragrances","1","887",0,330,0,391
"4111","Produkt 8","Fragrances","Mass women's fragrances","158","1,021",70,391,73,434
"4112","Produkt 13","Fragrances","Premium men's fragrances","718","399",322,168,353,192
"4113","Produkt 18","Fragrances","Premium women's fragrances","848","797",380,302,369,272
"4114","Produkt 23","Fragrances","Mass men's fragrances","443","427",199,157,207,186
"4115","Produkt 28","Fragrances","Mass women's fragrances","235","452",105,185,84,177
"4116","Produkt 3","Fragrances","Premium men's fragrances","828","1,047",371,439,345,512
"4117","Produkt 8","Fragrances","Premium women's fragrances","941","372",422,89,458,147
"4118","Produkt 13","Fragrances","Mass men's fragrances","593","945",267,389,253,319
"4119","Produkt 18","Fragrances","Mass women's fragrances","386","442",172,132,153,165
"4120","Produkt 23","Fragrances","Premium men's fragrances","667","1,081",299,462,239,472
"4121","Produkt 28","Fragrances","Premium women's fragrances","348","64",157,-40,133,31
"4122","Produkt 3","Fragrances","Mass men's fragrances","495","786",221,314,220,265
"4123","Produkt 8","Fragrances","Mass women's fragrances","168","258",75,56,69,94
"4124","Produkt 13","Fragrances","Premium men's fragrances","388","479",174,172,135,202
"4125","Produkt 18","Fragrances","Premium women's fragrances","695","215",311,59,328,73
"4126","Produkt 23","Fragrances","Mass men's fragrances","571","1,054",257,410,244,474
"4127","Produkt 28","Fragrances","Mass women's fragrances","934","206",419,38,346,81
"4128","Produkt 3","Fragrances","Premium men's fragrances","605","724",271,298,222,317
"4129","Produkt 8","Fragrances","Premium women's fragrances","927","1,027",416,412,398,503
"4130","Produkt 13","Fragrances","Mass men's fragrances","509","643",228,240,187,286
"4131","Produkt 18","Fragrances","Mass women's fragrances","251","1,025",111,439,93,431
"4132","Produkt 23","Fragrances","Premium men's fragrances","993","470",446,145,479,168
"4133","Produkt 28","Fragrances","Premium women's fragrances","335","1,093",150,447,123,532
"4134","Produkt 3","Fragrances","Mass men's fragrances","987","463",442,191,399,207
"4135","Produkt 8","Fragrances","Mass women's fragrances","920","222",412,56,349,75
"4136","Produkt 13","Fragrances","Premium men's fragrances","297","395",133,111,126,149
"4137","Produkt 18","Fragrances","Premium women's fragrances","624","591",280,239,215,248
"4138","Produkt 23","Fragrances","Mass men's fragrances","124","95",55,6,46,45
"4139","Produkt 28","Fragrances","Mass women's fragrances","41","807",18,289,15,345
"4140","Produkt 3","Fragrances","Premium men's fragrances","28","932",13,400,11,344
"4141","Produkt 8","Fragrances","Premium women's fragrances","288","982",129,421,124,349
"4142","Produkt 13","Fragrances","Mass men's fragrances","626","958",281,424,215,329
"4143","Produkt 18","Fragrances","Mass women's fragrances","743","196",334,50,331,67
"4144","Produkt 23","Fragrances","Premium men's fragrances","611","830",275,361,239,395
"4145","Produkt 28","Fragrances","Premium women's fragrances","954","518",428,203,341,192
"4146","Produkt 3","Fragrances","Mass men's fragrances","440","613",198,215,199,212
"4147","Produkt 8","Fragrances","Mass women's fragrances","44","526",19,173,20,199
"4148","Produkt 13","Fragrances","Premium men's fragrances","399","543",180,229,163,212
"4149","Produkt 18","Fragrances","Premium women's fragrances","232","68",103,-37,107,25
"4150","Produkt 23","Fragrances","Mass men's fragrances","917","1,073",411,443,387,362
"4151","Produkt 28","Fragrances","Mass women's fragrances","383","409",171,145,133,138
"4152","Produkt 3","Fragrances","Premium men's fragrances","572","720",256,276,254,245
"4153","Produkt 8","Fragrances","Premium women's fragrances","499","3",223,-53,245,1
"4154","Produkt 13","Fragrances","Mass men's fragrances","177","315",78,104,68,118
"4155","Produkt 18","Fragrances","Mass women's fragrances","82","366",36,122,30,123
"4156","Produkt 23","Fragrances","Premium men's fragrances","96","599",42,227,35,206
"4157","Produkt 28","Fragrances","Premium women's fragrances","719","2",323,-42,251,1
"4158","Produkt 3","Fragrances","Mass men's fragrances","496","162",222,-2,185,78
"4159","Produkt 8","Fragrances","Mass women's fragrances","192","552",85,233,74,231
"4160","Produkt 13","Fragrances","Premium men's fragrances","198","428",88,135,90,161
"4161","Produkt 18","Fragrances","Premium women's fragrances","354","807",159,312,136,369
"4162","Produkt 23","Fragrances","Mass men's fragrances","550","104",247,16,214,38
"4163","Produkt 28","Fragrances","Mass women's fragrances","893","59",401,-19,330,28
"4164","Produkt 3","Fragrances","Premium men's fragrances","13","134",5,10,5,54
"4165","Produkt 8","Fragrances","Premium women's fragrances","879","962",394,381,336,462
"4166","Produkt 13","Fragrances","Mass men's fragrances","664","999",298,400,280,358
"4167","Produkt 18","Fragrances","Mass women's fragrances","632","161",284,21,305,71
"4168","Produkt 23","Fragrances","Premium men's fragrances","944","1,034",425,408,353,419
"4169","Produkt 28","Fragrances","Premium women's fragrances","829","467",371,176,322,175
"4170","Produkt 3","Fragrances","Mass men's fragrances","654","392",293,134,317,157
"4171","Produkt 8","Fragrances","Mass women's fragrances","586","623",264,210,283,229
"4172","Produkt 13","Fragrances","Premium men's fragrances","27","23",12,-51,10,9
"4173","Produkt 18","Fragrances","Premium women's fragrances","990","697",444,263,348,239
"4174","Produkt 23","Fragrances","Mass men's fragrances","615","756",276,304,271,309
"4175","Produkt 28","Fragrances","Mass women's fragrances","585","570",263,217,282,269
"4176","Produkt 3","Fragrances","Premium men's fragrances","15","526",6,191,7,226
"4177","Produkt 8","Fragrances","Premium women's fragrances","849","95",381,14,399,32
"4178","Produkt 13","Fragrances","Mass men's fragrances","159","531",71,201,74,254
